OrderNumber,Channel,Procured Date,OrderDate,Ship Date,Delivery Date,Warehouse Index,Customer Index,Region Index,Product Index,Order Quantity,Unit Price,Unit Cost
SO - 0004873,Wholesale,8/23/2019,12/20/2019,12/22/2019,12/23/2019,3,25,80,11,8,1078.7,550.137
SO - 0004874,Wholesale,8/23/2019,12/20/2019,12/26/2019,12/30/2019,2,12,8,2,7,2653.2,1485.792
SO - 0004875,Wholesale,8/23/2019,12/20/2019,12/29/2019,1/2/2020,4,39,22,7,11,268,131.32
SO - 0004876,Wholesale,8/23/2019,12/20/2019,12/31/2019,1/5/2020,4,41,41,11,5,1098.8,890.028
SO - 0004877,Wholesale,8/23/2019,12/21/2019,1/2/2020,1/6/2020,2,43,5,11,7,3999.9,3399.915
SO - 0004878,Export,8/23/2019,12/21/2019,1/6/2020,1/16/2020,1,29,25,1,8,6204.2,3226.184
SO - 0004879,Wholesale,8/23/2019,12/21/2019,1/3/2020,1/6/2020,3,32,56,7,10,2257.9,1151.529
SO - 0004880,Distributor,8/23/2019,12/21/2019,1/16/2020,1/19/2020,2,38,82,7,7,2318.2,1460.466
SO - 0004881,Distributor,8/23/2019,12/21/2019,1/9/2020,1/10/2020,6,33,69,5,7,2680,1125.6
SO - 0004882,Wholesale,8/23/2019,12/21/2019,1/9/2020,1/17/2020,3,34,14,3,8,1125.6,787.92
SO - 0004883,Wholesale,8/23/2019,12/21/2019,12/30/2019,1/2/2020,3,7,16,2,9,3932.9,2713.701
SO - 0004884,Wholesale,8/23/2019,12/21/2019,1/10/2020,1/15/2020,5,7,3,1,9,5460.5,4586.82
SO - 0004885,Distributor,8/23/2019,12/22/2019,12/25/2019,12/28/2019,5,8,19,5,8,1139,501.16
SO - 0004886,Distributor,8/23/2019,12/22/2019,1/4/2020,1/7/2020,2,25,24,11,10,254.6,165.49
SO - 0004887,Distributor,8/23/2019,12/22/2019,1/11/2020,1/14/2020,2,47,40,7,6,2539.3,1015.72
SO - 0004888,Distributor,8/23/2019,12/22/2019,1/11/2020,1/17/2020,3,13,71,2,9,5748.6,4598.88
SO - 0004889,Wholesale,8/23/2019,12/22/2019,1/7/2020,1/13/2020,6,28,85,5,10,1809,1193.94
SO - 0004890,Wholesale,8/23/2019,12/22/2019,1/8/2020,1/15/2020,2,16,47,13,7,167.5,122.275
SO - 0004891,Wholesale,8/23/2019,12/23/2019,1/10/2020,1/16/2020,2,36,20,2,5,194.3,161.269
SO - 0004892,Export,8/23/2019,12/23/2019,1/18/2020,1/19/2020,4,17,80,2,12,3932.9,1691.147
SO - 0004893,Wholesale,8/23/2019,12/23/2019,1/19/2020,1/24/2020,3,11,24,5,8,3376.8,1857.24
SO - 0004894,Wholesale,8/23/2019,12/23/2019,1/20/2020,1/23/2020,2,40,22,13,9,5433.7,3803.59
SO - 0004895,Wholesale,8/23/2019,12/23/2019,1/19/2020,1/26/2020,1,9,3,13,7,5855.8,4216.176
SO - 0004896,Export,8/23/2019,12/23/2019,12/30/2019,1/7/2020,6,34,55,8,12,844.2,438.984
SO - 0004897,Wholesale,8/23/2019,12/23/2019,12/27/2019,1/6/2020,2,18,40,1,6,931.3,596.032
SO - 0004898,Distributor,8/23/2019,12/23/2019,12/27/2019,12/31/2019,1,7,15,7,12,797.3,677.705
SO - 0004899,Wholesale,8/23/2019,12/23/2019,1/11/2020,1/16/2020,2,7,21,11,12,877.7,465.181
SO - 0004900,Wholesale,8/23/2019,12/23/2019,1/18/2020,1/19/2020,1,2,2,13,10,2405.3,986.173
SO - 0004901,Wholesale,8/23/2019,12/24/2019,1/13/2020,1/16/2020,2,39,22,13,9,254.6,188.404
SO - 0004902,Wholesale,8/23/2019,12/24/2019,1/3/2020,1/10/2020,3,35,24,1,5,1983.2,1665.888
SO - 0004903,Export,8/23/2019,12/24/2019,1/10/2020,1/14/2020,1,6,49,11,8,1098.8,791.136
SO - 0004904,Distributor,8/23/2019,12/24/2019,12/27/2019,1/1/2020,2,12,62,2,8,1286.4,514.56
SO - 0004905,Export,8/23/2019,12/24/2019,12/26/2019,1/2/2020,2,1,54,11,9,2626.4,1549.576
SO - 0004906,Distributor,8/23/2019,12/24/2019,1/4/2020,1/8/2020,6,38,48,9,12,3892.7,2218.839
SO - 0004907,Distributor,8/23/2019,12/25/2019,1/7/2020,1/14/2020,2,47,4,1,11,1139,660.62
SO - 0004908,Wholesale,8/23/2019,12/25/2019,1/19/2020,1/28/2020,1,6,27,6,9,261.3,143.715
SO - 0004909,Wholesale,8/23/2019,12/25/2019,1/8/2020,1/15/2020,2,31,24,1,12,234.5,143.045
SO - 0004910,Distributor,8/23/2019,12/25/2019,12/29/2019,1/6/2020,6,22,55,11,11,1319.9,884.333
SO - 0004911,Distributor,8/23/2019,12/26/2019,1/7/2020,1/10/2020,1,35,21,1,12,2673.3,1229.718
SO - 0004912,Wholesale,8/23/2019,12/26/2019,1/2/2020,1/5/2020,1,33,30,14,11,2948,1621.4
SO - 0004913,Export,8/23/2019,12/26/2019,1/20/2020,1/30/2020,2,37,1,9,11,167.5,75.375
SO - 0004914,Wholesale,8/23/2019,12/26/2019,1/7/2020,1/14/2020,1,3,59,7,11,3872.6,3059.354
SO - 0004915,Distributor,8/23/2019,12/26/2019,1/3/2020,1/9/2020,4,1,23,1,10,3932.9,3185.649
SO - 0004916,Export,8/23/2019,12/26/2019,1/13/2020,1/21/2020,2,17,9,1,5,1058.6,688.09
SO - 0004917,Wholesale,8/23/2019,12/26/2019,1/4/2020,1/12/2020,2,1,3,2,7,187.6,88.172
SO - 0004918,Wholesale,8/23/2019,12/26/2019,1/21/2020,1/29/2020,1,32,21,11,5,2613,2168.79
SO - 0004919,Wholesale,8/23/2019,12/26/2019,1/4/2020,1/14/2020,4,23,11,2,5,1963.1,1040.443
SO - 0004920,Wholesale,8/23/2019,12/26/2019,1/17/2020,1/24/2020,2,40,8,7,6,3993.2,3154.628
SO - 0004921,Wholesale,8/23/2019,12/27/2019,1/19/2020,1/27/2020,6,27,22,11,10,770.5,392.955
SO - 0004922,Distributor,8/23/2019,12/27/2019,1/7/2020,1/12/2020,4,31,63,11,11,5540.9,4488.129
SO - 0004923,Wholesale,8/23/2019,12/27/2019,1/18/2020,1/25/2020,2,11,11,1,8,1949.7,1559.76
SO - 0004924,Wholesale,8/23/2019,12/27/2019,1/17/2020,1/18/2020,6,37,12,1,5,5889.3,4888.119
SO - 0004925,Distributor,8/23/2019,12/27/2019,1/15/2020,1/24/2020,3,13,20,7,11,730.3,496.604
SO - 0004926,Export,8/23/2019,12/27/2019,1/15/2020,1/22/2020,3,45,9,11,8,3872.6,1858.848
SO - 0004927,Distributor,8/23/2019,12/28/2019,1/3/2020,1/13/2020,3,5,11,5,6,3577.8,1645.788
SO - 0004928,Wholesale,8/23/2019,12/28/2019,12/30/2019,1/7/2020,1,4,2,1,12,2532.6,1063.692
SO - 0004929,Wholesale,8/23/2019,12/28/2019,1/24/2020,1/27/2020,1,30,41,1,7,2673.3,2138.64
SO - 0004930,Wholesale,8/23/2019,12/28/2019,1/18/2020,1/24/2020,3,8,2,7,12,1065.3,894.852
SO - 0004931,Wholesale,8/23/2019,12/28/2019,1/11/2020,1/12/2020,1,37,52,11,9,1132.3,634.088
SO - 0004932,Wholesale,8/23/2019,12/28/2019,1/16/2020,1/21/2020,1,13,17,7,7,5333.2,4266.56
SO - 0004933,Wholesale,8/23/2019,12/28/2019,1/3/2020,1/9/2020,4,10,15,11,11,857.6,420.224
SO - 0004934,Export,8/23/2019,12/28/2019,1/19/2020,1/22/2020,4,14,11,11,5,174.2,128.908
SO - 0004935,Export,8/23/2019,12/28/2019,1/12/2020,1/19/2020,4,48,2,13,8,5326.5,4367.73
SO - 0004936,Export,8/23/2019,12/28/2019,1/2/2020,1/11/2020,2,49,72,9,8,180.9,139.293
SO - 0004937,Wholesale,8/23/2019,12/29/2019,1/22/2020,1/30/2020,5,49,11,5,10,1802.3,1369.748
SO - 0004938,Wholesale,8/23/2019,12/29/2019,1/18/2020,1/23/2020,2,10,7,5,11,3879.3,1706.892
SO - 0004939,Wholesale,8/23/2019,12/29/2019,1/22/2020,1/26/2020,2,32,13,2,8,1051.9,820.482
SO - 0004940,Distributor,8/23/2019,12/29/2019,12/31/2019,1/6/2020,2,4,16,11,11,3906.1,2226.477
SO - 0004941,Wholesale,8/23/2019,12/29/2019,1/12/2020,1/17/2020,3,31,7,1,11,891.1,507.927
SO - 0004942,Distributor,8/23/2019,12/29/2019,1/15/2020,1/21/2020,2,40,14,7,10,221.1,170.247
SO - 0004943,Wholesale,8/23/2019,12/29/2019,1/26/2020,1/28/2020,6,25,51,7,11,3986.5,2551.36
SO - 0004944,Distributor,8/23/2019,12/29/2019,1/7/2020,1/9/2020,3,30,75,11,5,187.6,153.832
SO - 0004945,Wholesale,8/23/2019,12/29/2019,1/3/2020,1/8/2020,6,47,26,5,5,214.4,102.912
SO - 0004946,Wholesale,8/23/2019,12/29/2019,1/25/2020,1/29/2020,1,18,28,5,5,1748.7,909.324
SO - 0004947,Wholesale,8/23/2019,12/29/2019,1/18/2020,1/25/2020,2,21,13,7,10,1969.8,1477.35
SO - 0004948,Wholesale,8/23/2019,12/30/2019,1/6/2020,1/15/2020,4,13,79,7,5,3953,2648.51
SO - 0004949,Distributor,8/23/2019,12/30/2019,1/14/2020,1/20/2020,4,45,24,13,12,2512.5,1105.5
SO - 0004950,Distributor,8/23/2019,12/30/2019,1/3/2020,1/4/2020,4,46,58,2,9,3825.7,3098.817
SO - 0004951,Wholesale,8/23/2019,12/30/2019,1/24/2020,2/2/2020,3,42,44,7,11,207.7,89.311
SO - 0004952,Wholesale,8/23/2019,12/30/2019,1/16/2020,1/17/2020,1,4,52,11,10,1929.6,1254.24
SO - 0004953,Wholesale,8/23/2019,12/30/2019,1/19/2020,1/21/2020,4,27,26,7,10,1145.7,458.28
SO - 0004954,Distributor,8/23/2019,12/30/2019,1/17/2020,1/26/2020,6,3,38,11,12,2552.7,1072.134
SO - 0004955,Export,8/23/2019,12/30/2019,1/21/2020,1/24/2020,4,23,21,8,8,5561,2335.62
SO - 0004956,Export,8/23/2019,12/30/2019,1/12/2020,1/16/2020,3,10,4,7,10,214.4,120.064
SO - 0004957,Wholesale,8/23/2019,12/30/2019,1/8/2020,1/13/2020,5,19,18,3,9,2371.8,1470.516
SO - 0004958,Wholesale,8/23/2019,12/31/2019,1/4/2020,1/11/2020,4,2,10,5,7,1038.5,498.48
SO - 0004959,Distributor,8/23/2019,12/31/2019,1/9/2020,1/14/2020,1,12,24,1,5,1011.7,566.552
SO - 0004960,Wholesale,8/23/2019,12/31/2019,1/16/2020,1/20/2020,2,7,3,7,12,3926.2,2944.65
SO - 0004961,Distributor,8/23/2019,12/31/2019,1/4/2020,1/10/2020,1,2,27,6,10,6070.2,4127.736
SO - 0004962,Distributor,8/23/2019,12/31/2019,1/11/2020,1/19/2020,1,44,20,4,8,5996.5,5097.025
SO - 0004963,Export,8/23/2019,12/31/2019,1/2/2020,1/4/2020,3,26,64,6,9,5071.9,3246.016
SO - 0004964,Export,8/23/2019,12/31/2019,1/7/2020,1/16/2020,4,5,59,13,5,6164,4129.88
SO - 0004965,Distributor,8/23/2019,12/31/2019,1/12/2020,1/19/2020,4,48,32,14,7,3825.7,1874.593
SO - 0004966,Wholesale,8/23/2019,12/31/2019,1/11/2020,1/12/2020,2,1,31,11,7,1715.2,806.144
SO - 0004967,Distributor,8/23/2019,1/1/2020,1/15/2020,1/23/2020,4,29,24,8,12,3845.8,2230.564
SO - 0004968,Wholesale,8/23/2019,1/1/2020,1/24/2020,1/30/2020,1,31,42,9,12,1078.7,431.48
SO - 0004969,Wholesale,8/23/2019,1/1/2020,1/6/2020,1/14/2020,2,28,30,5,10,1045.2,480.792
SO - 0004970,Wholesale,8/23/2019,1/1/2020,1/23/2020,1/28/2020,3,3,14,1,9,268,123.28
SO - 0004971,Export,8/23/2019,1/2/2020,1/10/2020,1/17/2020,2,13,12,2,9,1802.3,1153.472
SO - 0004972,Distributor,8/23/2019,1/2/2020,1/21/2020,1/31/2020,1,24,35,9,9,1025.1,830.331
SO - 0004973,Distributor,8/23/2019,1/2/2020,1/12/2020,1/21/2020,6,26,45,5,6,2579.5,1031.8
SO - 0004974,Wholesale,8/23/2019,1/2/2020,1/16/2020,1/26/2020,3,36,21,2,6,6257.8,2816.01
SO - 0004975,Distributor,8/23/2019,1/2/2020,1/20/2020,1/29/2020,2,47,4,2,6,5333.2,4426.556
SO - 0004976,Wholesale,8/23/2019,1/2/2020,1/14/2020,1/21/2020,3,44,54,7,10,1675,1155.75
SO - 0004977,Wholesale,8/23/2019,1/2/2020,1/12/2020,1/13/2020,4,21,38,8,5,1139,466.99
SO - 0004978,Distributor,8/23/2019,1/2/2020,1/18/2020,1/21/2020,4,6,9,3,10,1011.7,667.722
SO - 0004979,Wholesale,8/23/2019,1/3/2020,1/31/2020,2/7/2020,1,36,20,13,10,174.2,90.584
SO - 0004980,Export,8/23/2019,1/3/2020,1/15/2020,1/18/2020,4,36,66,9,8,1775.5,710.2
SO - 0004981,Wholesale,8/23/2019,1/3/2020,1/19/2020,1/21/2020,3,24,8,13,9,1065.3,521.997
SO - 0004982,Distributor,8/23/2019,1/3/2020,1/24/2020,2/1/2020,2,18,11,11,7,6123.8,4041.708
SO - 0004983,Wholesale,8/23/2019,1/3/2020,1/15/2020,1/23/2020,6,47,21,1,11,2452.2,1986.282
SO - 0004984,Distributor,8/23/2019,1/3/2020,1/14/2020,1/16/2020,2,19,39,9,7,3906.1,2226.477
SO - 0004985,Wholesale,8/23/2019,1/3/2020,1/29/2020,2/4/2020,5,36,11,11,7,2351.7,1622.673
SO - 0004986,Wholesale,8/23/2019,1/3/2020,1/30/2020,2/4/2020,5,12,2,1,6,991.6,793.28
SO - 0004987,Wholesale,8/23/2019,1/3/2020,1/6/2020,1/8/2020,5,42,62,1,12,5226,3240.12
SO - 0004988,Wholesale,8/23/2019,1/4/2020,1/27/2020,2/6/2020,6,25,31,13,11,5936.2,3027.462
SO - 0004989,Wholesale,8/23/2019,1/4/2020,1/20/2020,1/22/2020,1,12,15,7,12,1051.9,525.95
SO - 0004990,Distributor,8/23/2019,1/4/2020,1/23/2020,1/26/2020,4,11,46,1,8,1018.4,794.352
SO - 0004991,Distributor,8/23/2019,1/4/2020,1/31/2020,2/6/2020,1,23,11,9,10,3731.9,2948.201
SO - 0004992,Wholesale,8/23/2019,1/4/2020,1/17/2020,1/21/2020,3,9,40,11,8,3276.3,2588.277
SO - 0004993,Distributor,8/23/2019,1/5/2020,1/26/2020,1/27/2020,2,41,86,7,5,1105.5,718.575
SO - 0004994,Wholesale,8/23/2019,1/5/2020,2/1/2020,2/2/2020,1,40,9,1,7,6539.2,4708.224
SO - 0004995,Wholesale,12/1/2019,1/5/2020,1/31/2020,2/10/2020,5,47,21,13,5,3517.5,2778.825
SO - 0004996,Export,8/23/2019,1/5/2020,1/11/2020,1/19/2020,2,18,20,9,10,2338.3,1099.001
SO - 0004997,Wholesale,8/23/2019,1/5/2020,1/21/2020,1/25/2020,2,38,70,7,8,2231.1,892.44
SO - 0004998,Distributor,8/23/2019,1/5/2020,1/12/2020,1/17/2020,2,47,20,1,12,911.2,537.608
SO - 0004999,Wholesale,8/23/2019,1/5/2020,1/9/2020,1/16/2020,3,45,12,7,9,6277.9,4520.088
SO - 0005000,Wholesale,12/1/2019,1/5/2020,1/17/2020,1/25/2020,5,21,74,1,7,2371.8,996.156
SO - 0005001,Export,8/23/2019,1/5/2020,1/16/2020,1/20/2020,3,45,75,11,6,1969.8,984.9
SO - 0005002,Export,8/23/2019,1/5/2020,1/7/2020,1/14/2020,4,45,73,11,11,5996.5,2818.355
SO - 0005003,Export,8/23/2019,1/5/2020,1/30/2020,2/3/2020,2,11,36,13,6,3865.9,2396.858
SO - 0005004,Wholesale,8/23/2019,1/5/2020,1/9/2020,1/13/2020,4,6,22,7,11,5768.7,4557.273
SO - 0005005,Wholesale,8/23/2019,1/6/2020,1/27/2020,1/30/2020,2,50,50,8,8,1916.2,1341.34
SO - 0005006,Distributor,8/23/2019,1/6/2020,1/9/2020,1/11/2020,6,9,4,7,9,1989.9,1392.93
SO - 0005007,Distributor,8/23/2019,1/6/2020,1/29/2020,2/5/2020,2,46,44,13,7,3370.1,2763.482
SO - 0005008,Distributor,8/23/2019,1/6/2020,1/24/2020,2/3/2020,4,38,73,11,11,850.9,697.738
SO - 0005009,Distributor,8/23/2019,1/6/2020,2/3/2020,2/13/2020,6,15,13,2,7,1125.6,697.872
SO - 0005010,Wholesale,8/23/2019,1/6/2020,1/18/2020,1/26/2020,4,42,8,1,8,6157.3,3509.661
SO - 0005011,Wholesale,8/23/2019,1/6/2020,1/21/2020,1/27/2020,4,17,9,14,10,1005,592.95
SO - 0005012,Wholesale,8/23/2019,1/6/2020,1/26/2020,1/31/2020,3,24,10,13,6,2479,1735.3
SO - 0005013,Distributor,8/23/2019,1/6/2020,1/27/2020,1/30/2020,2,20,24,2,7,1989.9,1492.425
SO - 0005014,Wholesale,8/23/2019,1/6/2020,1/31/2020,2/1/2020,4,1,12,7,9,716.9,336.943
SO - 0005015,Wholesale,8/23/2019,1/7/2020,1/19/2020,1/22/2020,5,35,34,5,11,1688.4,894.852
SO - 0005016,Distributor,8/23/2019,1/7/2020,1/13/2020,1/23/2020,4,50,76,13,10,2619.7,1938.578
SO - 0005017,Wholesale,8/23/2019,1/7/2020,1/25/2020,2/1/2020,1,12,18,11,7,1728.6,1400.166
SO - 0005018,Export,12/1/2019,1/7/2020,1/9/2020,1/10/2020,1,32,19,7,8,3993.2,1637.212
SO - 0005019,Distributor,8/23/2019,1/7/2020,2/3/2020,2/4/2020,2,37,13,6,5,2398.6,1199.3
SO - 0005020,Distributor,8/23/2019,1/7/2020,1/10/2020,1/15/2020,4,21,22,11,8,884.4,548.328
SO - 0005021,Wholesale,8/23/2019,1/7/2020,2/3/2020,2/10/2020,2,24,33,1,7,804,353.76
SO - 0005022,Wholesale,8/23/2019,1/7/2020,1/9/2020,1/10/2020,2,24,56,7,12,897.8,475.834
SO - 0005023,Wholesale,8/23/2019,1/7/2020,1/17/2020,1/19/2020,2,34,18,2,7,3859.2,1891.008
SO - 0005024,Distributor,8/23/2019,1/7/2020,2/2/2020,2/5/2020,1,24,33,7,10,951.4,675.494
SO - 0005025,Distributor,8/23/2019,1/7/2020,1/22/2020,1/25/2020,5,6,38,2,7,201,120.6
SO - 0005026,Wholesale,8/23/2019,1/7/2020,1/10/2020,1/20/2020,3,23,62,7,5,2566.1,1950.236
SO - 0005027,Distributor,12/1/2019,1/7/2020,1/12/2020,1/14/2020,2,18,19,2,12,1728.6,968.016
SO - 0005028,Distributor,8/23/2019,1/8/2020,1/12/2020,1/15/2020,4,40,23,6,5,5132.2,3027.998
SO - 0005029,Distributor,8/23/2019,1/8/2020,1/21/2020,1/31/2020,1,12,17,7,9,5480.6,4439.286
SO - 0005030,Export,8/23/2019,1/8/2020,1/14/2020,1/21/2020,3,4,50,2,5,3953,2688.04
SO - 0005031,Distributor,8/23/2019,1/8/2020,1/20/2020,1/27/2020,2,42,21,7,12,964.8,530.64
SO - 0005032,Export,12/1/2019,1/8/2020,1/12/2020,1/19/2020,2,33,7,1,5,1943,1068.65
SO - 0005033,Distributor,8/23/2019,1/8/2020,1/26/2020,1/31/2020,5,7,52,1,5,3892.7,3075.233
SO - 0005034,Wholesale,8/23/2019,1/8/2020,1/20/2020,1/29/2020,2,12,17,1,7,5822.3,4541.394
SO - 0005035,Distributor,8/23/2019,1/8/2020,1/15/2020,1/21/2020,1,47,48,13,9,1755.4,1298.996
SO - 0005036,Wholesale,8/23/2019,1/8/2020,1/15/2020,1/16/2020,6,39,30,2,8,3128.9,1439.294
SO - 0005037,Distributor,8/23/2019,1/8/2020,2/4/2020,2/9/2020,3,34,18,10,10,2318.2,1553.194
SO - 0005038,Wholesale,12/1/2019,1/9/2020,1/30/2020,2/8/2020,2,13,43,9,10,1735.3,1145.298
SO - 0005039,Wholesale,8/23/2019,1/9/2020,1/14/2020,1/24/2020,6,17,6,7,12,3879.3,1551.72
SO - 0005040,Distributor,8/23/2019,1/9/2020,1/23/2020,1/25/2020,6,26,16,11,12,3932.9,1887.792
SO - 0005041,Distributor,8/23/2019,1/9/2020,1/25/2020,2/4/2020,2,39,30,13,11,1045.2,543.504
SO - 0005042,Distributor,8/23/2019,1/9/2020,1/16/2020,1/24/2020,6,4,29,9,11,214.4,124.352
SO - 0005043,Distributor,8/23/2019,1/9/2020,2/2/2020,2/10/2020,3,34,14,1,10,897.8,466.856
SO - 0005044,Wholesale,8/23/2019,1/9/2020,1/16/2020,1/21/2020,3,16,81,11,6,1139,717.57
SO - 0005045,Distributor,8/23/2019,1/9/2020,1/14/2020,1/19/2020,5,17,7,8,11,5460.5,2348.015
SO - 0005046,Wholesale,8/23/2019,1/9/2020,1/26/2020,1/31/2020,2,45,22,1,8,2391.9,1841.763
SO - 0005047,Wholesale,8/23/2019,1/9/2020,2/2/2020,2/11/2020,3,1,76,7,5,5996.5,4557.34
SO - 0005048,Wholesale,12/1/2019,1/10/2020,1/25/2020,2/1/2020,5,9,22,1,12,1728.6,726.012
SO - 0005049,Export,12/1/2019,1/10/2020,1/23/2020,1/24/2020,5,13,63,11,10,3343.3,2240.011
SO - 0005050,Wholesale,8/23/2019,1/10/2020,1/21/2020,1/22/2020,2,40,33,1,5,174.2,81.874
SO - 0005051,Wholesale,12/1/2019,1/10/2020,1/13/2020,1/15/2020,3,31,7,7,11,1058.6,561.058
SO - 0005052,Wholesale,8/23/2019,1/10/2020,1/14/2020,1/18/2020,3,37,3,2,7,964.8,395.568
SO - 0005053,Wholesale,8/23/2019,1/10/2020,1/21/2020,1/29/2020,6,39,6,11,12,3966.4,2300.512
SO - 0005054,Distributor,12/1/2019,1/10/2020,1/24/2020,1/28/2020,4,43,23,5,12,2633.1,1895.832
SO - 0005055,Export,8/23/2019,1/10/2020,1/19/2020,1/22/2020,5,40,21,11,10,1011.7,819.477
SO - 0005056,Distributor,8/23/2019,1/10/2020,1/25/2020,2/2/2020,6,15,3,5,6,3892.7,2802.744
SO - 0005057,Distributor,8/23/2019,1/10/2020,1/20/2020,1/23/2020,5,3,19,7,5,3805.6,1636.408
SO - 0005058,Wholesale,8/23/2019,1/10/2020,1/15/2020,1/18/2020,3,20,9,13,8,1031.8,825.44
SO - 0005059,Wholesale,12/1/2019,1/10/2020,1/28/2020,1/30/2020,2,11,23,7,8,6090.3,2618.829
SO - 0005060,Wholesale,8/23/2019,1/11/2020,1/28/2020,2/3/2020,3,11,19,1,5,3892.7,2102.058
SO - 0005061,Wholesale,8/23/2019,1/11/2020,1/31/2020,2/2/2020,2,2,26,11,11,2231.1,1070.928
SO - 0005062,Wholesale,8/23/2019,1/11/2020,1/22/2020,1/30/2020,2,23,59,7,11,3953,3320.52
SO - 0005063,Export,8/23/2019,1/11/2020,1/21/2020,1/28/2020,2,13,18,7,8,931.3,726.414
SO - 0005064,Distributor,8/23/2019,1/11/2020,1/20/2020,1/25/2020,4,31,78,11,8,2626.4,1365.728
SO - 0005065,Distributor,8/23/2019,1/11/2020,2/7/2020,2/12/2020,1,23,48,1,5,1681.7,1294.909
SO - 0005066,Distributor,12/1/2019,1/11/2020,1/20/2020,1/21/2020,5,31,69,6,10,1266.3,987.714
SO - 0005067,Distributor,8/23/2019,1/11/2020,2/7/2020,2/8/2020,6,41,36,11,8,3356.7,1879.752
SO - 0005068,Distributor,8/23/2019,1/11/2020,2/7/2020,2/15/2020,1,11,33,13,8,1112.2,767.418
SO - 0005069,Wholesale,8/23/2019,1/11/2020,2/1/2020,2/2/2020,3,12,19,7,8,1862.6,819.544
SO - 0005070,Distributor,8/23/2019,1/11/2020,2/7/2020,2/12/2020,2,48,28,11,5,254.6,106.932
SO - 0005071,Export,8/23/2019,1/11/2020,1/18/2020,1/28/2020,2,7,69,7,9,3919.5,2822.04
SO - 0005072,Wholesale,8/23/2019,1/11/2020,2/3/2020,2/13/2020,2,23,1,11,9,3979.8,3024.648
SO - 0005073,Wholesale,8/23/2019,1/12/2020,1/18/2020,1/21/2020,1,49,54,1,6,3859.2,1852.416
SO - 0005074,Export,8/23/2019,1/12/2020,1/23/2020,1/29/2020,2,18,75,3,10,214.4,109.344
SO - 0005075,Wholesale,8/23/2019,1/12/2020,1/30/2020,2/3/2020,4,7,13,2,10,1252.9,989.791
SO - 0005076,Wholesale,8/23/2019,1/12/2020,1/22/2020,1/28/2020,2,1,49,2,7,4013.3,2367.847
SO - 0005077,Wholesale,8/23/2019,1/12/2020,1/30/2020,2/9/2020,2,47,15,11,12,1112.2,645.076
SO - 0005078,Wholesale,8/23/2019,1/12/2020,2/9/2020,2/14/2020,3,2,4,2,5,3859.2,2662.848
SO - 0005079,Wholesale,8/23/2019,1/12/2020,1/20/2020,1/21/2020,6,40,43,11,8,3825.7,3137.074
SO - 0005080,Wholesale,12/1/2019,1/12/2020,1/21/2020,1/26/2020,4,12,43,1,9,241.2,173.664
SO - 0005081,Wholesale,8/23/2019,1/12/2020,1/26/2020,2/4/2020,3,46,85,9,5,3979.8,2467.476
SO - 0005082,Export,8/23/2019,1/12/2020,1/28/2020,2/1/2020,1,13,24,6,5,3899.4,3197.508
SO - 0005083,Export,8/23/2019,1/12/2020,1/31/2020,2/9/2020,4,42,19,7,6,2412,1736.64
SO - 0005084,Distributor,8/23/2019,1/12/2020,2/3/2020,2/5/2020,6,13,23,2,8,5875.9,4289.407
SO - 0005085,Wholesale,8/23/2019,1/12/2020,1/19/2020,1/24/2020,5,38,78,11,5,5293,3122.87
SO - 0005086,Wholesale,8/23/2019,1/13/2020,1/29/2020,2/3/2020,3,19,10,7,10,3912.8,1995.528
SO - 0005087,Wholesale,8/23/2019,1/13/2020,1/21/2020,1/27/2020,1,37,18,5,7,1159.1,718.642
SO - 0005088,Wholesale,8/23/2019,1/13/2020,1/20/2020,1/27/2020,2,47,44,2,6,1125.6,596.568
SO - 0005089,Wholesale,8/23/2019,1/13/2020,1/23/2020,1/30/2020,2,41,20,1,5,3912.8,1956.4
SO - 0005090,Distributor,12/1/2019,1/13/2020,2/2/2020,2/9/2020,2,7,3,2,12,227.8,159.46
SO - 0005091,Export,12/1/2019,1/13/2020,2/7/2020,2/10/2020,3,45,20,2,9,1018.4,407.36
SO - 0005092,Wholesale,8/23/2019,1/13/2020,1/15/2020,1/23/2020,4,20,36,7,11,938,684.74
SO - 0005093,Wholesale,12/1/2019,1/13/2020,1/20/2020,1/22/2020,1,42,9,4,9,227.8,102.51
SO - 0005094,Distributor,12/1/2019,1/13/2020,2/10/2020,2/11/2020,2,6,7,7,9,1005,673.35
SO - 0005095,Distributor,12/1/2019,1/14/2020,1/22/2020,1/25/2020,2,5,11,11,10,227.8,166.294
SO - 0005096,Distributor,12/1/2019,1/14/2020,1/23/2020,2/1/2020,3,30,14,1,5,1072,546.72
SO - 0005097,Distributor,8/23/2019,1/14/2020,1/25/2020,2/4/2020,4,1,18,4,12,2505.8,1954.524
SO - 0005098,Wholesale,8/23/2019,1/14/2020,2/3/2020,2/11/2020,6,28,14,9,9,4020,3015
SO - 0005099,Wholesale,8/23/2019,1/14/2020,2/9/2020,2/15/2020,2,12,12,1,5,5916.1,3253.855
SO - 0005100,Wholesale,12/1/2019,1/14/2020,2/11/2020,2/16/2020,3,11,46,11,9,1092.1,567.892
SO - 0005101,Export,12/1/2019,1/14/2020,2/9/2020,2/13/2020,1,16,64,11,11,3959.7,2375.82
SO - 0005102,Distributor,8/23/2019,1/14/2020,1/28/2020,2/1/2020,3,16,30,4,10,3845.8,1884.442
